Date,DL,T
4/1/2012,48360,8.6
4/2/2012,48540,8.64
4/3/2012,48660,8.68
4/4/2012,48840,8.78
4/5/2012,48960,8.69
4/6/2012,49140,8.68
4/7/2012,49260,8.48
4/8/2012,49440,8.55
4/9/2012,49560,8.66
4/10/2012,49740,8.54
4/11/2012,49860,8.69
4/12/2012,50040,8.72
4/13/2012,50160,8.8
4/14/2012,50340,8.59
4/15/2012,50460,8.54
4/16/2012,50640,8.64
4/17/2012,50760,8.64
4/18/2012,50880,8.71
4/19/2012,51000,8.79
4/20/2012,51180,8.73
4/21/2012,51300,8.7
4/22/2012,51420,8.81
4/23/2012,51600,8.85
4/24/2012,51720,8.82
4/25/2012,51840,8.86
4/26/2012,52020,8.9
4/27/2012,52140,8.87
4/28/2012,52260,8.87
4/29/2012,52440,8.98
4/30/2012,52560,9.05
5/1/2012,52680,8.98
5/2/2012,52800,8.89
5/3/2012,52980,8.88
5/4/2012,53100,8.93
5/5/2012,53220,8.87
5/6/2012,53340,8.9
5/7/2012,53460,8.98
5/8/2012,53580,8.95
5/9/2012,53700,8.94
5/10/2012,53820,9.04
5/11/2012,53940,9
5/12/2012,54060,9.01
5/13/2012,54180,8.93
5/14/2012,54300,9.18
5/15/2012,54420,9.11
5/16/2012,54540,9.09
5/17/2012,54600,9.22
5/18/2012,54720,9.21
5/19/2012,54840,9.19
5/20/2012,54900,9.27
5/21/2012,55020,9.2
5/22/2012,55140,9.22
5/23/2012,55260,9.1
5/24/2012,55320,9.2
5/25/2012,55380,9.33
5/26/2012,55500,9.38
5/27/2012,55560,9.4
5/28/2012,55680,9.48
5/29/2012,55740,9.45
5/30/2012,55800,9.45
5/31/2012,55860,9.38
6/1/2012,55980,9.32
6/2/2012,55980,9.27
6/3/2012,56040,9.37
6/4/2012,56160,9.31
6/5/2012,56160,9.32
6/6/2012,56220,9.26
6/7/2012,56280,9.38
6/8/2012,56340,9.41
6/9/2012,56400,9.37
6/10/2012,56400,9.41
6/11/2012,56460,9.45
6/12/2012,56460,9.44
6/13/2012,56520,9.41
6/14/2012,56520,9.41
6/15/2012,56520,9.33
6/16/2012,56580,9.53
6/17/2012,56580,9.51
6/18/2012,56580,9.47
6/19/2012,56640,9.57
6/20/2012,56640,9.56
6/21/2012,56580,9.51
6/22/2012,56580,9.43
6/23/2012,56640,9.39
6/24/2012,56640,9.41
6/25/2012,56580,9.5
6/26/2012,56580,9.5
6/27/2012,56520,9.53
6/28/2012,56520,9.56
6/29/2012,56520,9.58
6/30/2012,56460,9.59
7/1/2012,56460,9.57
7/2/2012,56340,9.54
7/3/2012,56340,9.62
7/4/2012,56280,9.73
7/5/2012,56280,9.69
7/6/2012,56220,9.72
7/7/2012,56100,9.63
7/8/2012,56100,9.7
7/9/2012,56040,9.76
7/10/2012,55920,9.74
7/11/2012,55920,9.77
7/12/2012,55800,9.74
7/13/2012,55740,9.77
7/14/2012,55620,9.73
7/15/2012,55620,9.76
7/16/2012,55500,9.69
7/17/2012,55380,9.75
7/18/2012,55320,9.75
7/19/2012,55200,9.9
7/20/2012,55140,9.79
7/21/2012,55080,9.76
7/22/2012,54960,9.78
7/23/2012,54840,9.81
7/24/2012,54720,9.8
7/25/2012,54600,9.72
7/26/2012,54540,9.77
7/27/2012,54420,9.77
7/28/2012,54360,9.8
7/29/2012,54240,9.82
7/30/2012,54120,9.7
7/31/2012,54000,9.84
8/1/2012,53880,9.89
8/2/2012,53760,9.8
8/3/2012,53640,9.7
8/4/2012,53460,9.72
8/5/2012,53340,9.87
8/6/2012,53220,9.83
8/7/2012,53100,9.78
8/8/2012,52980,9.81
8/9/2012,52860,9.75
8/10/2012,52680,9.77
8/11/2012,52560,9.83
