Date,DL,T
4/1/2012,48360,8.92
4/2/2012,48540,8.72
4/3/2012,48660,8.82
4/4/2012,48840,8.86
4/5/2012,48960,8.67
4/6/2012,49140,8.56
4/7/2012,49260,8.7
4/8/2012,49440,8.88
4/9/2012,49560,8.9
4/10/2012,49740,9.07
4/11/2012,49860,9.1
4/12/2012,50040,8.94
4/13/2012,50160,8.72
4/14/2012,50340,8.46
4/15/2012,50460,8.76
4/16/2012,50640,9.24
4/17/2012,50760,9.01
4/18/2012,50880,9.05
4/19/2012,51000,9.36
4/20/2012,51180,9.24
4/21/2012,51300,9.29
4/22/2012,51420,9.47
4/23/2012,51600,9.62
4/24/2012,51720,9.55
4/25/2012,51840,9.12
4/26/2012,52020,9.13
4/27/2012,52140,9.34
4/28/2012,52260,9.52
4/29/2012,52440,9.35
4/30/2012,52560,9.63
5/1/2012,52680,9.54
5/2/2012,52800,9.51
5/3/2012,52980,9.61
5/4/2012,53100,9.56
5/5/2012,53220,9.56
5/6/2012,53340,9.42
5/7/2012,53460,9.44
5/8/2012,53580,9.67
5/9/2012,53700,9.85
5/10/2012,53820,9.81
5/11/2012,53940,9.66
5/12/2012,54060,9.63
5/13/2012,54180,9.65
5/14/2012,54300,9.81
5/15/2012,54420,9.87
5/16/2012,54540,9.95
5/17/2012,54600,9.87
5/18/2012,54720,9.73
5/19/2012,54840,9.88
5/20/2012,54900,9.6
5/21/2012,55020,9.96
5/22/2012,55140,9.9
5/23/2012,55260,10.09
5/24/2012,55320,9.69
5/25/2012,55380,9.74
5/26/2012,55500,9.77
5/27/2012,55560,9.59
5/28/2012,55680,9.74
5/29/2012,55740,9.69
5/30/2012,55800,9.89
5/31/2012,55860,9.91
6/1/2012,55980,9.89
6/2/2012,55980,9.96
6/3/2012,56040,9.96
6/4/2012,56160,9.97
6/5/2012,56160,9.87
6/6/2012,56220,9.68
6/7/2012,56280,9.68
6/8/2012,56340,9.73
6/9/2012,56400,10.16
6/10/2012,56400,9.9
6/11/2012,56460,9.81
6/12/2012,56460,10.03
6/13/2012,56520,10.03
6/14/2012,56520,10.06
6/15/2012,56520,9.96
6/16/2012,56580,9.96
6/17/2012,56580,10.16
6/18/2012,56580,10.23
6/19/2012,56640,9.85
6/20/2012,56640,9.94
6/21/2012,56580,9.93
6/22/2012,56580,10.19
6/23/2012,56640,10.22
6/24/2012,56640,10.23
6/25/2012,56580,10.21
6/26/2012,56580,10.19
6/27/2012,56520,10.17
6/28/2012,56520,10.11
6/29/2012,56520,10.19
6/30/2012,56460,10.17
7/1/2012,56460,10.18
7/2/2012,56340,9.83
7/3/2012,56340,9.93
7/4/2012,56280,9.81
7/5/2012,56280,10.03
7/6/2012,56220,9.9
7/7/2012,56100,10.03
7/8/2012,56100,10.14
7/9/2012,56040,10.19
7/10/2012,55920,10.22
7/11/2012,55920,10.14
7/12/2012,55800,10.15
7/13/2012,55740,10.05
7/14/2012,55620,9.79
7/15/2012,55620,10.12
7/16/2012,55500,9.96
7/17/2012,55380,10.03
7/18/2012,55320,9.92
7/19/2012,55200,9.81
7/20/2012,55140,10.06
7/21/2012,55080,10.28
7/22/2012,54960,10.29
7/23/2012,54840,10.07
7/24/2012,54720,10.16
7/25/2012,54600,10
7/26/2012,54540,10.05
7/27/2012,54420,9.9
7/28/2012,54360,10.14
7/29/2012,54240,10.23
7/30/2012,54120,10.22
7/31/2012,54000,10
8/1/2012,53880,9.96
8/2/2012,53760,10.07
8/3/2012,53640,10.1
8/4/2012,53460,10.08
8/5/2012,53340,10.09
8/6/2012,53220,10.07
8/7/2012,53100,10.17
8/8/2012,52980,10.25
8/9/2012,52860,10.35
8/10/2012,52680,10.31
