Date,Avg_Temp_C,DL
4/19/2012,9.35625,51060
4/20/2012,9.242708333,51180
4/21/2012,9.286458333,51300
4/22/2012,9.471875,51480
4/23/2012,9.617708333,51600
4/24/2012,9.547916667,51780
4/25/2012,9.115625,51900
4/26/2012,9.130208333,51960
4/27/2012,9.336458333,52140
4/28/2012,9.520833333,52260
4/29/2012,9.353125,52380
4/30/2012,9.627083333,52500
5/1/2012,9.538541667,52680
5/2/2012,9.513541667,52800
5/3/2012,9.613541667,52920
5/4/2012,9.560416667,53040
5/5/2012,9.564583333,53160
5/6/2012,9.41875,53280
5/7/2012,9.44375,53460
5/8/2012,9.672916667,53580
5/9/2012,9.851041667,53700
5/10/2012,9.80625,53820
5/11/2012,9.664583333,53940
5/12/2012,9.627083333,54060
5/13/2012,9.65,54180
5/14/2012,9.811458333,54300
5/15/2012,9.871875,54420
5/16/2012,9.951041667,54540
5/17/2012,9.86875,54600
5/18/2012,9.734375,54720
5/19/2012,9.879166667,54780
5/20/2012,9.598958333,54900
5/21/2012,9.957291667,55020
5/22/2012,9.898958333,55080
5/23/2012,10.08631579,55200
5/24/2012,9.69375,55320
5/25/2012,9.74375,55380
5/26/2012,9.767708333,55440
5/27/2012,9.5875,55500
5/28/2012,9.736458333,55620
5/29/2012,9.690625,55740
5/30/2012,9.89375,55740
5/31/2012,9.907291667,55800
6/1/2012,9.891666667,55920
6/2/2012,9.963541667,55980
6/3/2012,9.959375,56040
6/4/2012,9.965625,56100
6/5/2012,9.866666667,56160
6/6/2012,9.682291667,56220
6/7/2012,9.676041667,56280
6/8/2012,9.730208333,56280
6/9/2012,10.1625,56340
6/10/2012,9.895833333,56340
6/11/2012,9.809375,56400
6/12/2012,10.028125,56400
6/13/2012,10.03020833,56460
6/14/2012,10.05729167,56460
6/15/2012,9.955208333,56520
6/16/2012,9.960416667,56520
6/17/2012,10.159375,56520
6/18/2012,10.234375,56580
6/19/2012,9.846875,56580
6/20/2012,9.942708333,56580
6/21/2012,9.933333333,56580
6/22/2012,10.19375,56580
6/23/2012,10.21666667,56580
6/24/2012,10.22604167,56580
6/25/2012,10.20833333,56580
6/26/2012,10.18541667,56520
6/27/2012,10.17395833,56520
6/28/2012,10.109375,56460
6/29/2012,10.19479167,56460
6/30/2012,10.17291667,56460
7/1/2012,10.175,56400
7/2/2012,9.828125,56400
7/3/2012,9.93125,56280
7/4/2012,9.810416667,56220
7/5/2012,10.03229167,56220
7/6/2012,9.9,56160
7/7/2012,10.025,56100
7/8/2012,10.14479167,56040
7/9/2012,10.18645833,55980
7/10/2012,10.21808511,55920
